code,year,data_level,cpi,ppp2021
GIN,2002,national,0.0776508412781158,3471.783636
GIN,2007,national,0.206088347528431,3471.783636
GIN,2012,national,0.4270047574901221,3471.783636
GIN,2018,national,0.7682583074297854,3471.783636
GMB,1998,national,0.24782422545494084,15.42415047
GMB,2003,national,0.35878040861183635,15.42415047
GMB,2010,national,0.5109585205781595,15.42415047
GMB,2015,national,0.6800728449045821,15.42415047
GMB,2020,national,0.9368473837502765,15.42415047
GNB,1991,national,0.061934093371533674,217.9846802
GNB,1993,national,0.15555813156917564,217.9846802
GNB,2002,national,0.7179752943130107,217.9846802
GNB,2010,national,0.8579303542935823,217.9846802
GNB,2018,national,0.9656866142848626,217.9846802
GNB,2021,national,1.0303602082723873,217.9846802
GNQ,2022,national,1.0706328829644172,287.6906738
GRC,1995,national,190.61779046200755,0.600590289
GRC,2000,national,241.416730270402,0.600590289
GRC,2002,national,258.6195562564215,0.600590289
GRC,2003,national,0.7857682203271824,0.600590289
GRC,2004,national,0.8085464554446194,0.600590289
GRC,2005,national,0.8372100231152008,0.600590289
GRC,2006,national,0.8639667888557121,0.600590289
GRC,2007,national,0.8889786848441962,0.600590289
GRC,2008,national,0.9258961519883594,0.600590289
GRC,2009,national,0.9371001667684328,0.600590289
GRC,2010,national,0.9812655774562857,0.600590289
GRC,2011,national,1.0139403167252656,0.600590289
GRC,2012,national,1.0291648611815254,0.600590289
GRC,2013,national,1.0196834813606557,0.600590289
GRC,2014,national,1.0063025530932415,0.600590289
GRC,2015,national,0.9888343159065461,0.600590289
GRC,2016,national,0.9806699545212392,0.600590289
GRC,2017,national,0.9916657707866864,0.600590289
GRC,2018,national,0.9978698020369766,0.600590289
GRC,2019,national,1.0003945365595392,0.600590289
GRC,2020,national,0.9879097378210981,0.600590289
GRC,2021,national,1,0.600590289
GRC,2022,national,1.0964526596555448,0.600590289
GRC,2023,national,1.1344425625142056,0.600590289
GRD,2018,national,0.9848905949324182,1.850866556
GTM,1986,national,0.06436346354691401,3.44300127
GTM,1989,national,0.08407064544858647,3.44300127
GTM,1998,national,0.30350492578680377,3.44300127
GTM,2000,national,0.3383085965626351,3.44300127
GTM,2006,national,0.5205746071644715,3.44300127
GTM,2014,national,0.7767220043988137,3.44300127
GTM,2023,national,1.1333793915589954,3.44300127
GUY,1992,national,0.2635817912582923,99.45970917
GUY,1998,national,0.40113138995862474,99.45970917
HND,1986,national,0.03824480142368386,11.78213501
HND,1989,national,0.04499077397108132,11.78213501
HND,1990,national,0.05295052914195512,11.78213501
HND,1991,national,0.07357983334733532,11.78213501
HND,1992,national,0.08059498578605247,11.78213501
HND,1993,national,0.08759032140997086,11.78213501
HND,1994,national,0.11446192227692085,11.78213501
HND,1995,national,0.1389158717384375,11.78213501
HND,1996,national,0.16847497067373457,11.78213501
HND,1997,national,0.20731082626850905,11.78213501
HND,1998,national,0.23552968536974803,11.78213501
HND,1999,national,0.26207217660358667,11.78213501
HND,2001,national,0.3228625138829409,11.78213501
HND,2002,national,0.3456111753290378,11.78213501
HND,2003,national,0.3735506397857101,11.78213501
HND,2004,national,0.40316647210978335,11.78213501
HND,2005,national,0.43920838125889056,11.78213501
HND,2006,national,0.46603026713729584,11.78213501
HND,2007,national,0.49424912623853473,11.78213501
HND,2008,national,0.5498486605073136,11.78213501
HND,2009,national,0.5836554124998866,11.78213501
HND,2010,national,0.6090803251554588,11.78213501
HND,2011,national,0.6560186254426712,11.78213501
HND,2012,national,0.6898253774352407,11.78213501
HND,2013,national,0.7230733401386831,11.78213501
